filename,srccompRatio,srcformat,comcompRatio,comformat,metric,score
test_30_jpg,30,jpg,60,jp2,ERGAS,7419.163273719874
test_30_jpg,30,jpg,60,jp2,SAM,0.13847138155448702
test_30_jpg,30,jpg,60,jp2,VIFP,0.1996637567283739
test_30_jpg,30,jpg,60,jpg,PSNR,20.82525451572377
test_30_jpg,30,jpg,60,jpg,UQI,0.9713118427614585
test_30_jpg,30,jpg,60,jpg,SSIM,0.7120705378368829
test_30_jpg,30,jpg,60,jpg,ERGAS,7273.3034306293985
test_30_jpg,30,jpg,60,jpg,SAM,0.13411285208055793
test_30_jpg,30,jpg,60,jpg,VIFP,0.22250948935175915
test_30_jpg,30,jpg,60,jxr,PSNR,20.018017281669692
test_30_jpg,30,jpg,60,jxr,UQI,0.9667783919708485
test_30_jpg,30,jpg,60,jxr,SSIM,0.6464242489870253
test_30_jpg,30,jpg,60,jxr,ERGAS,7998.748168988382
test_30_jpg,30,jpg,60,jxr,SAM,0.14773518642170924
test_30_jpg,30,jpg,60,jxr,VIFP,0.17600962624397964
test_30_jpg,30,jpg,80,bpg,PSNR,21.682689404697648
test_30_jpg,30,jpg,80,bpg,UQI,0.9763343439540861
test_30_jpg,30,jpg,80,bpg,SSIM,0.7430491757758443
test_30_jpg,30,jpg,80,bpg,ERGAS,6660.749366214701
test_30_jpg,30,jpg,80,bpg,SAM,0.121686403396514
test_30_jpg,30,jpg,80,bpg,VIFP,0.2389341802334802
test_30_jpg,30,jpg,80,jp2,PSNR,19.74853245368542
test_30_jpg,30,jpg,80,jp2,UQI,0.967479145007355
test_30_jpg,30,jpg,80,jp2,SSIM,0.658949204533342
test_30_jpg,30,jpg,80,jp2,ERGAS,7915.987572949525
test_30_jpg,30,jpg,80,jp2,SAM,0.15158400697166524
test_30_jpg,30,jpg,80,jp2,VIFP,0.17865837306561425
test_30_jpg,30,jpg,80,jpg,PSNR,20.82525451572377
test_30_jpg,30,jpg,80,jpg,UQI,0.9713118427614585
test_30_jpg,30,jpg,80,jpg,SSIM,0.7120705378368829
test_30_jpg,30,jpg,80,jpg,ERGAS,7273.3034306293985
test_30_jpg,30,jpg,80,jpg,SAM,0.13411285208055793
test_30_jpg,30,jpg,80,jpg,VIFP,0.22250948935175915
test_30_jpg,30,jpg,80,jxr,PSNR,18.070494847475025
test_30_jpg,30,jpg,80,jxr,UQI,0.9548950187412699
test_30_jpg,30,jpg,80,jxr,SSIM,0.545699309832799
test_30_jpg,30,jpg,80,jxr,ERGAS,9501.367672281474
test_30_jpg,30,jpg,80,jxr,SAM,0.18539066996049935
test_30_jpg,30,jpg,80,jxr,VIFP,0.12718570233789042
